# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.857804e+01	2.814961e-28
1.862087e+01	2.833659e-28
1.866380e+01	2.852442e-28
1.870682e+01	2.876042e-28
1.874995e+01	2.895019e-28
1.879317e+01	2.914082e-28
1.883649e+01	2.938030e-28
1.887991e+01	2.957286e-28
1.892344e+01	2.976629e-28
1.896706e+01	3.000927e-28
1.901078e+01	3.020464e-28
1.905461e+01	3.040086e-28
1.909853e+01	3.064737e-28
1.914256e+01	3.084553e-28
1.918669e+01	3.109447e-28
1.923092e+01	3.129459e-28
1.927525e+01	3.154597e-28
1.931968e+01	3.174804e-28
1.936422e+01	3.195099e-28
1.940886e+01	3.220589e-28
1.945360e+01	3.241080e-28
1.949845e+01	3.266814e-28
1.954339e+01	3.287501e-28
1.958845e+01	3.313481e-28
1.963360e+01	3.334362e-28
1.967886e+01	3.360589e-28
1.972423e+01	3.381667e-28
1.976970e+01	3.408139e-28
1.981527e+01	3.434746e-28
1.986095e+01	3.456132e-28
1.990673e+01	3.482985e-28
1.995262e+01	3.504567e-28
1.999862e+01	3.531667e-28
2.004472e+01	3.553704e-28
2.009093e+01	3.581375e-28
2.013724e+01	3.609186e-28
2.018366e+01	3.631537e-28
2.023019e+01	3.659601e-28
2.027683e+01	3.687806e-28
2.032357e+01	3.710471e-28
2.037042e+01	3.738929e-28
2.041738e+01	3.767526e-28
2.046445e+01	3.790505e-28
2.051162e+01	3.819356e-28
2.055891e+01	3.848347e-28
2.060630e+01	3.877479e-28
2.065380e+01	3.900885e-28
2.070141e+01	3.930271e-28
2.074914e+01	3.959796e-28
2.079697e+01	3.989462e-28
2.084491e+01	4.013297e-28
2.089296e+01	4.043216e-28
2.094112e+01	4.073277e-28
2.098940e+01	4.103477e-28
2.103778e+01	4.133819e-28
2.108628e+01	4.164301e-28
2.113489e+01	4.188788e-28
2.118361e+01	4.219524e-28
2.123244e+01	4.250400e-28
2.128139e+01	4.281417e-28
2.133045e+01	4.312574e-28
2.137962e+01	4.343872e-28
2.142891e+01	4.375311e-28
2.147830e+01	4.406890e-28
2.152782e+01	4.438611e-28
2.157744e+01	4.470470e-28
2.162719e+01	4.502471e-28
2.167704e+01	4.534612e-28
2.172701e+01	4.566894e-28
2.177710e+01	4.599316e-28
2.182730e+01	4.631878e-28
2.187762e+01	4.664580e-28
2.192805e+01	4.697423e-28
2.197860e+01	4.730406e-28
2.202926e+01	4.763529e-28
2.208005e+01	4.796792e-28
2.213095e+01	4.830194e-28
2.218196e+01	4.863737e-28
2.223310e+01	4.897419e-28
2.228435e+01	4.931243e-28
2.233572e+01	4.972014e-28
2.238721e+01	5.006142e-28
2.243882e+01	5.040412e-28
2.249055e+01	5.074820e-28
2.254239e+01	5.109369e-28
2.259436e+01	5.144056e-28
2.264644e+01	5.185864e-28
2.269865e+01	5.220857e-28
2.275097e+01	5.255989e-28
2.280342e+01	5.291260e-28
2.285599e+01	5.333769e-28
2.290868e+01	5.369345e-28
2.296149e+01	5.405059e-28
2.301442e+01	5.440913e-28
2.306747e+01	5.484120e-28
2.312065e+01	5.520278e-28
2.317395e+01	5.556573e-28
2.322737e+01	5.600310e-28
2.328091e+01	5.636910e-28
2.333458e+01	5.673647e-28
2.338837e+01	5.717912e-28
2.344229e+01	5.754953e-28
2.349633e+01	5.799581e-28
2.355049e+01	5.836923e-28
2.360478e+01	5.874402e-28
2.365920e+01	5.919557e-28
2.371374e+01	5.957337e-28
2.376840e+01	6.002854e-28
2.382319e+01	6.040935e-28
2.387811e+01	6.086811e-28
2.393316e+01	6.125192e-28
2.398833e+01	6.171428e-28
2.404363e+01	6.210109e-28
2.409905e+01	6.256703e-28
2.415461e+01	6.295681e-28
2.421029e+01	6.342633e-28
2.426610e+01	6.389782e-28
